"id","screens_id","selection","hideflg","seqno","rowpos","colpos","width","type","dataprecision","datascale","indisp","subindisp","editable","maxvalue","minvalue","edoptsize","edoptmaxlength","edoptrow","edoptcols","edoptvalue","sumkey","crtfield","expiredate","remark","persons_id_upd","update_ip","created_at","updated_at","pobjects_id_sfd","tblfields_id","paragraph","formatter","contents"
160895,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2664,4919,,,
160894,164,0,0,9999,,,120,"varchar",0,0,0,0,0,0,0,20,20,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,2660,4918,,,
145411,164,1,0,651,65,1,132,"number",0,0,1,0,1,0,0,22,22,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2015/12/01 20:06:04,2015/12/01 20:44:46,14771,424,,,
186267,164,1,0,9999,,,90,"date",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/07/04 23:06:14,2016/07/04 23:06:14,884,5037,,,
160799,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,576,2060,,,
216075,164,1,0,0,0,0,6,"varchar",0,0,0,0,0,0,0,0,0,0,0,"0",,,2099/12/31,"auto add otherview  screenfield --->r_nditms opeitm_consumauto",0,,2019/07/14,2019/07/14,16285,1901,"",,
160836,164,1,0,9999,,,0,"number",3,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,10126,8763,,,
160831,164,0,0,9999,,,300,"textarea",0,0,0,0,0,0,0,100,4000,10,80,,,,2099/12/31,"auto_crt",0,"2019.06.12.1",2016/03/27 17:38:11,2016/03/27 17:38:11,13435,8900,,,
160841,164,1,0,9999,,,6,"char",0,0,0,0,0,0,0,1,1,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,12823,11180,,,
160826,164,1,0,9999,,,240,"varchar",0,0,0,0,0,0,0,40,40,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,6423,6100,,,
145426,164,1,0,601,60,1,100,"varchar",0,0,1,0,1,0,0,10,50,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2015/12/01 20:06:04,2015/12/01 20:36:13,2659,4914,"r_locas:_nditm",,
160850,164,0,0,9999,,,0,"number",7,2,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13938,11889,,,
160829,164,1,0,9999,,,300,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,9047,2026,,,
186380,164,0,0,9999,,,90,"date",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/07/04 23:06:15,2016/07/04 23:06:15,5848,4926,,,
160792,164,1,0,9999,,,0,"number",7,2,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,479,2064,,,
160828,164,0,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,9045,2025,,,
160912,164,1,0,9999,,,85,"varchar",0,0,0,0,0,0,0,50,50,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:12,2016/03/27 17:38:12,6445,5751,,,
24327,164,1,0,102,10,2,150,"varchar",0,0,0,0,2,0,0,10,50,0,0,,,,2099/12/31,"auto_crt",0,"127.0.0.1",2014/06/18 21:40:32.157,2015/12/01 21:56:31,429,2054,,,
160854,164,0,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,13942,11892,,,
160810,164,0,1,9999,,,0,"number",0,0,0,0,0,0,0,0,0,0,0,,,,2099/12/31,"auto_crt",0,"2019.06.12.2",2016/03/27 17:38:11,2016/03/27 17:38:11,2503,4913,,,
