"ID","POBJECTS_ID_TBL","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","EXPIREDATE","UPDATED_AT","SELTBLS","CONTENTS"
3360,12001,"undefined",0,"127.0.0.1",2015/05/17 16:18:50.119,2000/01/01,2015/07/20 14:44:25.249,"undefined","レイアウト統一後の業者納期回答sno_trn(外部からのkey)とsno_ord(xxxordsのkey)は必須回答からxxxinstsに引き継げる項目は、数量、納期、コメントのみ業者ごとにレイアウトは異なることを想定tblname tblidにオリジナルなテーブルがある。"
3380,12025,"undefined",0,"127.0.0.1",2015/05/17 18:12:46.943,2099/12/31,2015/11/23 12:25:24,"undefined","返品在庫の削除と支払のマイナスを作成。"
3400,12201,,0,"127.0.0.1",2015/06/06 11:23:54.943,2099/12/31,2015/06/06 11:23:54.943,,"プログラムのdef"
3401,12202,,0,"127.0.0.1",2015/06/06 11:27:14.074,2099/12/31,2015/06/06 11:27:14.074,,"classの一覧"
3402,12211,,0,"127.0.0.1",2015/06/06 11:50:15.872,2099/12/31,2015/06/06 11:50:15.872,,"defの親子関係　再帰に関してはdummy　codeで対応する。"
3420,12581,"undefined",0,"127.0.0.1",2015/07/10 22:05:31.572,2099/12/31,2016/07/28 1:39:52,"undefined","テーフルxxxreplyinputsからyyyinstsを作成。バッチ処理ctrlテーブル"
3440,12683,"undefined",0,"127.0.0.1",2015/07/20 13:58:21.836,2000/01/01,2017/03/25 23:51:13,"undefined","中止　画面で納期回答を実績入力"
3441,12684,"undefined",0,"127.0.0.1",2015/07/20 14:39:02.602,2099/12/31,2015/07/20 22:03:25.260,"undefined","画面で実績入力"
3442,12685,"undefined",0,"127.0.0.1",2015/07/20 14:50:39.215,2099/12/31,2015/07/20 14:50:39.215,"undefined","画面から納期回答の入力"
3460,12746,"undefined",0,"127.0.0.1",2015/07/20 15:43:56.752,2099/12/31,2015/07/20 15:43:56.752,"undefined","実績実行画面"
3480,12776,"undefined",0,"127.0.0.1",2015/07/20 20:26:42.391,2099/12/31,2015/07/20 20:26:42.391,"undefined","製造実績"
3481,12777,"undefined",0,"127.0.0.1",2015/07/20 20:28:58.870,2099/12/31,2015/11/23 12:25:34,"undefined","製造戻し在庫の削除"
3500,12944,"undefined",0,"127.0.0.1",2015/08/28 21:43:07,2099/12/31,2016/01/10 23:13:17,"undefined","請求先マスター"
3520,13027,,0,"127.0.0.1",2015/08/29 21:48:11,2099/12/31,2015/08/29 21:48:11,,"currencyだとサイズ大きすぎるため　crrsに変更"
3540,13602,,0,"127.0.0.1",2015/09/21 15:10:43,2099/12/31,2015/09/21 15:10:43,,"有償支給先"
3560,13887,"undefined",0,"127.0.0.1",2015/10/05 21:41:20,2099/12/31,2015/10/05 21:41:20,"undefined","画面から出庫回答の入力"
3580,13908,,0,"127.0.0.1",2015/10/08 11:35:39,2099/12/31,2015/10/08 11:35:39,,"箱の種類テーブル"
3600,5181,"undefined",0,"127.0.0.1",2015/10/13 21:19:31,2099/12/31,2015/11/23 12:24:50,"undefined","出庫、出荷返品在庫と客先からの返品時は請求のマイナスを作成。"
3620,14125,,0,"127.0.0.1",2015/10/18 23:18:25,2099/12/31,2015/10/18 23:18:25,,"準バッチによる出庫の実績入力"
3640,14185,"undefined",0,"127.0.0.1",2015/10/21 10:01:56,2099/12/31,2015/10/21 10:01:56,"undefined","プロジェクトグループ"
3661,14385,"undefined",0,"127.0.0.1",2015/11/01 23:43:23,2099/12/31,2015/11/02 19:19:41,"undefined","オーダ作成時、在庫不足等を発生させた品目"
3680,14606,"undefined",0,"127.0.0.1",2015/11/22 21:17:15,2099/12/31,2015/11/22 21:17:15,"undefined","画面から納期回答の入力"
3681,14607,"undefined",0,"127.0.0.1",2015/11/22 21:17:43,2099/12/31,2015/11/22 21:17:43,"undefined","画面で実績入力"
3700,14907,"undefined",0,"127.0.0.1",2015/12/14 20:32:10,2099/12/31,2016/01/17 10:23:00,"undefined","売り上げ出荷はテーブルdlvactsを想定"
3720,14946,"undefined",0,"127.0.0.1",2015/12/23 18:02:17,2099/12/31,2017/05/07 16:15:43,"undefined","客先又は納品先への出荷入りは自動作成しない。製品構成のtree構造には使用できない。shpxxxsはopeitms_idのため使用できず"
3721,14947,"undefined",0,"127.0.0.1",2015/12/23 18:03:10,2099/12/31,2016/01/09 16:54:39,"undefined","客先又は納品先への出荷custinsts:dlvords = 1:1 まとめ，分割はdlvinstsで行う。"
3722,14948,"undefined",0,"127.0.0.1",2015/12/23 18:03:19,2099/12/31,2016/01/10 19:57:36,"undefined","客先又は納品先への出荷準備回答連絡"
3723,14949,"undefined",0,"127.0.0.1",2015/12/23 18:03:28,2099/12/31,2015/12/23 18:03:28,"undefined","客先又は納品先への出荷"
3740,11027,"undefined",0,"127.0.0.1",2016/01/10 23:13:46,2099/12/31,2016/01/11 19:51:54,"undefined","請求書"
3760,15231,"undefined",0,"127.0.0.1",2016/01/20 21:34:00,2099/12/31,2016/01/20 21:34:00,"undefined","入金予想"
3790,15425,"undefined",0,"127.0.0.1",,2099/12/31,2016/05/03 16:20:29,"undefined","trnganttsとxxschs作成オリジナルのテーブルとは1:1で作成すること。(tblname,tblidは必須。)prdxxx,purxxxx,shpxxxを直接画面、excelで登録、変更する時も利用する。"
3800,15485,"undefined",0,"127.0.0.1",2016/05/09 23:17:29,2099/12/31,2016/05/09 23:17:29,"[""""]","完成品の物の動き該当データ(opeitms)が無いときは、proccessseq=999 priority =999の場所からの移動"
3820,15545,"undefined",0,"127.0.0.1",2016/05/20 20:43:31,2000/01/01,2017/06/09 22:19:05,"undefined","undefined"
3840,15548,"undefined",0,"127.0.0.1",2016/05/21 6:59:33,2000/01/01,2017/06/09 22:19:31,"undefined","undefined"
3841,15551,"undefined",0,"127.0.0.1",2016/05/21 6:59:50,2000/01/01,2017/06/09 22:19:40,"undefined","undefined"
3842,15554,"undefined",0,"127.0.0.1",2016/05/21 7:03:07,2000/01/01,2017/06/09 22:19:49,"undefined","undefined"
3860,15686,"undefined",0,"127.0.0.1",2016/05/27 22:04:58,2099/12/31,2016/05/27 22:08:29,"undefined","仕入先不定の時の発注"
3880,15799,"undefined",0,"127.0.0.1",2016/05/29 10:25:27,2099/12/31,2016/05/29 10:51:34,"undefined","製造開始inoutsの発生はしない。"
3900,16065,"undefined",0,"127.0.0.1",2016/07/29 1:40:46,2099/12/31,2016/07/29 1:41:39,"undefined","ピッキング、梱包予定"
3901,16068,"undefined",0,"127.0.0.1",2016/07/29 1:43:46,2099/12/31,2016/07/29 1:43:46,"undefined","ピッキング、梱包オーダ"
3902,16071,"undefined",0,"127.0.0.1",2016/07/29 1:48:44,2099/12/31,2017/04/29 17:26:19,"undefined","ピッキング、梱包指示picords:picinsts:picacts = 1:1:1 を想定している。また、trnganttsにはない。"
3903,16074,"undefined",0,"127.0.0.1",2016/07/29 20:56:46,2099/12/31,2016/07/29 20:57:28,"undefined","ピッキング、梱包実行"
3920,16125,"undefined",0,"127.0.0.1",2016/07/31 15:55:39,2099/12/31,2016/07/31 15:55:39,"undefined","資産管理倉庫　棚卸場所"
3940,16185,"undefined",0,"127.0.0.1",2016/08/07 22:47:28,2099/12/31,2016/08/07 22:47:28,"undefined","客先又は納品先からの検収"
3941,16189,"undefined",0,"127.0.0.1",2016/08/07 23:14:08,2099/12/31,2016/09/19 16:58:44,"undefined","アカウントセンター、入金、出金センター"
3960,16648,"undefined",0,"127.0.0.1",2016/09/19 17:06:34,2099/12/31,2016/09/19 17:06:34,"undefined","コストセンター、プロジェクト毎、品目毎、場所ごと等"
3980,16685,"undefined",0,"127.0.0.1",2016/10/29 0:29:52,2099/12/31,2016/10/29 0:55:38,"undefined","No管理テール"
4000,16910,,0,"127.0.0.1",2017/03/04 22:16:34,2099/12/31,2017/03/04 22:16:34,"undefined","準バッチによるpickingの実績入力"
4020,16985,,0,"127.0.0.1",2017/03/20 17:00:24,2099/12/31,2017/03/20 17:00:24,"undefined","準バッチによるpickingの実績入力"
4040,17305,,0,"127.0.0.1",2017/08/11 18:36:49,2099/12/31,2017/08/11 18:36:49,"undefined","Ｐｕｒｓｃｈｓ確定後,prdschsに変更"
