"ID","REMARK","PERSONS_ID_UPD","UPDATE_IP","CREATED_AT","EXPIREDATE","UPDATED_AT","CODE","CONTENTS","OBJECTTYPE"
554,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"currency_expiredate",,"view_field"
557,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_strselect",,"view_field"
558,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_strwhere",,"view_field"
559,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_width",,"view_field"
560,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"detailfield_selection",,"view_field"
561,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"cust_personnameofcust",,"view_field"
562,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_update_ip",,"view_field"
563,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"cust_currency_id",,"view_field"
565,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2014/01/18 21:40:17.013,"billing_update_ip",,"view_field"
568,"xxx",0,,2013/05/04 21:11:04,2099/12/31,2014/06/13 23:05:44.210,"loca_mail",,"view_field"
569,,0,,2013/05/04 21:11:04,2099/12/31,2014/06/13 23:25:29.159,"loca_tel_custs",,"view_field"
570,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"cust_person_id_upd",,"view_field"
571,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"screen_created_at",,"view_field"
572,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"usergroup_remark",,"view_field"
574,"test",0,,2013/05/04 21:11:04,2099/12/31,2014/01/21 1:34:10.437,"button_update_ip",,"view_field"
575,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/11 16:13:55,"itm_weight",,"view_field"
576,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_material",,"view_field"
577,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_prfct",,"view_field"
578,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"pobject_update_ip",,"view_field"
579,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_mail_custs",,"view_field"
580,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_minqty",,"view_field"
581,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"currency_code",,"view_field"
582,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"loca_code_billings",,"view_field"
585,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"itm_itmtype",,"view_field"
586,"auto_crt",0,,2013/05/04 21:11:04,2099/12/31,2013/05/04 21:11:04,"currency_amtdecimal",,"view_field"
